@relation 'glass-weka.filters.unsupervised.attribute.NumericToNominal-R11-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.MergeManyValues-Clast-Llarge-R1,2,3-unset-class-temporarily-weka.filters.unsupervised.attribute.MergeManyValues-Clast-Lless-R1,2,3-unset-class-temporarily-weka.filters.supervised.instance.SMOTE-C2-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P50.0-S1'

@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute f numeric
@attribute e numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k {large,less}

@data
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0,0,large
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0,0,large
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0,0,large
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0,large
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0,0,large
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0,0.26,large
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0,0,large
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0,0,large
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0,0,large
1.51755,13,3.6,1.36,72.99,0.57,8.4,0,0.11,large
1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0,0.24,large
1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0,0,large
1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0,0.24,large
1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0,0.17,large
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0,large
1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0,0,large
1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0,0,large
1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0,0,large
1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0,0,large
1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0,0.07,large
1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0,0.19,large
1.51966,14.77,3.75,0.29,72.02,0.03,9,0,0,large
1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0,0,large
1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0,0,large
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0,large
1.51764,12.98,3.54,1.21,73,0.65,8.53,0,0,large
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0,large
1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0,0,large
1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0,0,large
1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0,0,large
1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0,0.14,large
1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0,0,large
1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,large
1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0,0.06,large
1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0,0,large
1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0,0,large
1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0,large
1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0,0,large
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,large
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,large
1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0,0,large
1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0,0,large
1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0,0,large
1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0,0,large
1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0,0.3,large
1.519,13.49,3.48,1.35,71.95,0.55,9,0,0,large
1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0,0.16,large
1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1,large
1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0,0,large
1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0,0,large
1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0,0.16,large
1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0,0.11,large
1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0,0,large
1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0,0,large
1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0,0.09,large
1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0,0.24,large
1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0,0.31,large
1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0,0,large
1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0,0,large
1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0,0.11,large
